Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
573,384,211.613692,293.1936751,128571,3721.027,0.883311719,583.3346977,359.284012,-72.71034623,0.787813388,0.222111996,0.010459832,0.00139568,2.54E-05,-4.33E-09,-1.75E-06,1.43E-09,0
572,380,208.3521155,292.4257549,129591,3968.773,0.896611511,581.6883181,361.189511,-73.54760209,0.78386359,0.21947404,0.009960865,0.001315081,2.51E-05,-4.30E-09,-1.81E-06,1.38E-09,0
564,374,202.9933938,288.6430669,131089,3457.157,0.862171856,571.9053439,363.9806825,-75.03487072,0.771330187,0.213149313,0.008482107,0.001021321,1.64E-05,-2.03E-09,-1.05E-06,5.76E-10,0
556,374,197.4972163,284.1155461,134535,3979.294,0.89323397,564.8519467,368.7237095,-75.87885904,0.757548063,0.21138384,0.007235312,0.000723065,3.61E-06,-8.60E-11,-3.06E-07,-1.83E-10,0
570,347,183.3465276,291.825251,123892,2473.327,0.745498673,581.4087251,333.7535846,-80.45815322,0.818825184,0.226728578,0.013073998,0.000839276,1.13E-05,8.36E-10,9.85E-07,4.67E-10,0
562,353,187.7382124,286.03474,125216,3994.37,0.901378158,574.863242,339.2425882,-80.31025339,0.807310085,0.222395377,0.011556546,0.000804068,6.60E-06,4.57E-10,7.08E-07,-8.42E-10,0
563,352,186.9730537,287.0780451,124915,3427.697,0.866395955,575.6797248,339.5308722,-80.64246998,0.807555735,0.223502451,0.011692044,0.000783285,4.30E-06,2.38E-10,4.28E-07,-1.84E-10,0
534,376,196.8241386,269.9350939,132684,2298.235,0.684325464,545.0023911,361.2331432,-80.06311673,0.748787447,0.201389759,0.006154742,0.000572945,1.50E-05,8.24E-10,1.01E-06,-2.27E-09,0
583,327,171.3866476,299.09888,115979,3869.261,0.902650624,595.2980722,306.7868748,-82.56713892,0.856979787,0.24169131,0.019670499,0.001026379,1.96E-05,2.67E-09,2.55E-06,6.78E-10,0
585,312,159.6986693,309.9567004,104158,3888.121,0.913418929,594.0092925,299.5594605,-82.50387861,0.863527958,0.25058457,0.023747914,0.001148895,3.76E-05,7.35E-09,5.15E-06,2.66E-09,0
585,309,144.6720516,332.4687702,91243,2670.78,0.839256585,589.2648704,259.3410738,-75.01775018,0.897944107,0.251044497,0.023267638,0.001219377,2.35E-05,1.98E-09,2.01E-06,3.32E-09,0
578,336,172.1322236,293.71548,121408,3509.967,0.876162806,584.6448336,323.7750024,-84.36922586,0.832651208,0.226015666,0.014679343,0.001177948,4.03E-05,4.06E-09,2.41E-06,7.38E-09,0
581,358,182.5492397,290.5162141,128900,2605.031,0.76130848,583.0297071,336.8195051,-80.36806833,0.816245234,0.219830024,0.012058937,0.001456579,5.35E-05,2.37E-09,1.18E-06,1.35E-08,0
589,355,181.6290342,291.694959,126265,4129.996,0.906976305,590.2347165,326.2422911,-79.35883727,0.833358309,0.225132878,0.014343101,0.001858003,9.73E-05,1.72E-08,4.21E-06,3.57E-08,0
593,374,184.3808418,293.2895092,129647,3569.698,0.872147453,584.3756165,332.5285442,-78.88587379,0.822315239,0.217933643,0.012392485,0.001884456,8.41E-05,-3.10E-09,-1.01E-06,2.80E-08,0
594,394,190.5443827,297.8391496,135368,3233.654,0.837318271,581.5377832,340.1684725,-75.81008923,0.811071901,0.209574145,0.010551804,0.001586732,6.31E-05,-9.67E-09,-3.51E-06,1.46E-08,0
599,361,173.9920937,297.3047897,121802,2901.767,0.818222884,581.9477153,305.3128448,-78.12430607,0.851324403,0.221616663,0.015861162,0.001997041,0.000134894,3.50E-08,3.96E-06,5.88E-08,0
601,349,166.4565975,299.038995,115938,2682.318,0.79750461,579.6746214,290.8368215,-78.53915212,0.865027609,0.226742643,0.018371968,0.002182393,0.000179641,6.54E-08,7.31E-06,8.86E-08,0
602,351,164.0048509,299.9101384,113174,2630.597,0.794482935,577.7519768,284.8384152,-78.6940708,0.870022748,0.229149836,0.019471398,0.002503452,0.000265955,1.58E-07,1.63E-05,1.44E-07,0
600,339,162.3805495,297.1986589,111699,2595.33,0.791611391,578.5653981,281.4719583,-78.84493206,0.87368068,0.231629572,0.02043996,0.002484697,0.00025014,1.47E-07,1.68E-05,1.28E-07,0
601,338,160.7941964,297.6383991,110586,2495.773,0.776899857,577.4083213,279.8155785,-79.19756237,0.874732505,0.232687158,0.020787487,0.002577204,0.000292596,2.15E-07,2.47E-05,1.36E-07,0
565,327,158.374418,280.2576579,99015,2381.524,0.780618031,545.6095141,266.1918439,-78.71048278,0.872910838,0.232634246,0.020500559,0.002699785,0.000289636,2.17E-07,2.52E-05,1.32E-07,0
573,297,132.5732091,293.0755913,94032,2677.91,0.835224141,540.9926307,254.0392613,-83.3886925,0.882889984,0.237426923,0.022992305,0.002517312,0.000257029,1.75E-07,2.41E-05,1.49E-07,0
573,302,128.7617579,299.6099177,96595,2547.19,0.812913768,532.3188844,264.0644377,-85.39036395,0.868285742,0.228470671,0.01910668,0.002144733,0.000158484,7.09E-08,0.000011504,1.28E-07,0
565,298,136.4635163,290.0789496,94782,2726.278,0.839750953,535.9359027,257.2123815,-82.8988809,0.877306108,0.233025767,0.021249696,0.002284413,0.00020005,1.06E-07,1.62E-05,1.08E-07,0
544,359,180.3819988,271.4069608,106482,2693.928,0.815619879,533.8336624,287.7444931,-74.01407417,0.842295995,0.215868404,0.014083249,0.001932844,0.000110653,1.70E-08,6.19E-07,4.34E-08,0
543,353,178.0126062,270.1264053,104869,2241.39,0.737685601,531.3786636,285.9749943,-74.60194933,0.842832782,0.217022293,0.014290551,0.002221813,0.000133824,2.80E-08,1.68E-06,6.09E-08,0
555,303,145.7096234,280.7695419,93210,2541.451,0.81865362,533.1540133,255.2841103,-81.22273619,0.877913808,0.234308312,0.021581396,0.00255578,0.000287144,2.17E-07,2.84E-05,1.22E-07,0
